S.No,Item Name,Quantity,Price (₹),Purpose
1,"PiDino Raspberry Pi 3 Model B+ Complete Kit (Board, Case, 16GB SD Card, Official PSU, HeatSinks, HDMI & LAN Cables)",1,6600,Robot's brain and body
2,"USB Mini Microphone (Plug-and-Play, 360° Omnidirectional, Noise Cancelling)",1,350,Robot's ears (voice input)
3,"ZEBRONICS Igloo 1 2.0 USB Computer Speakers (8W, USB Powered, AUX, Volume Control)",1,400,Robot's mouth (voice output)
4,"5MP Raspberry Pi Camera Board (OV5647 Sensor, Standard CSI Ribbon Cable)",1,350,Robot's eye (vision mode)
5,"Robocraze 1.3 inch I2C OLED Display Module (128x64 Resolution, SSD1306 Driver)",1,520,Robot's face (expressive animations)
6,"URBN 10000mAh Power Bank (Dual USB Output, Li-Polymer)",1,849,Portable battery for tetherless operation
7,"Digitek (DCR-007) USB-A 3.0 & Type-C High-Speed Multi-Card Reader (Supports SD/microSD)",1,299,For loading software onto the microSD card from laptop
8,"Female-to-Female Jumper Wires (Pack of 10, 20cm)",1,30,Connect OLED display to Raspberry Pi GPIO pins
,,,,,
,,,,TOTAL,9398,
